CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
19937-59-8,METOXURON,678.0,25.0,EXP,"TOMLIN,C (1994)",3.23e-05,20.0,EXP,"TOMLIN,C (1997)",1.43e-08,25.0,EST,VP/WSOL
20020-02-4,"1,2,3,4-TETRACHLORONAPHTHALENE",0.00426,22.0,EXP,"OPPERHUIZEN,A ET AL. (1985)",2.9e-06,25.0,EXT,"LEI,YD ET AL. (1999)",0.000238,25.0,EST,VP/WSOL
20266-65-3,1-Nitrooxy-2-propanol,67100.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.339,25.0,EST,"NEELY,WB & BLAU,GE (1985)",9.17e-08,25.0,EXP,"SHEPSON,PB ET AL. (1996)"
20266-74-4,2-Nitrooxy-1-propanol,67100.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.229,25.0,EST,"NEELY,WB & BLAU,GE (1985)",2.22e-07,25.0,EXP,"SHEPSON,PB ET AL. (1996)"
20354-26-1,METHAZOLE,1.5,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",1e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",2.29e-07,25.0,EST,VP/WSOL
20633-11-8,1-HEXYL NITRATE,110.0,25.0,EXP,"HAUFF,K ET AL. (1998)",1.58,25.0,EXP,"HAUFF,K ET AL. (1998)",0.00149,25.0,EXP,"HAUFF,K ET AL. (1998)"
21087-64-9,METRIBUZIN,1050.0,20.0,EXP,"TOMLIN,C (1994)",4.35e-07,20.0,EXP,"TOMLIN,C (1997)",1.17e-10,20.0,EST,VP/WSOL
21145-77-7,Tonalid,1.25,,EXP,"BALK,F & FORD,RA (1999)",0.000512,,EXP,"BALK,F & FORD,RA (1999)",0.000139,25.0,EST,VP/WSOL
21548-32-3,FOSTHIETAN,50000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",6.45e-06,25.0,EXP,"TOMLIN,C (2003)",4.11e-11,25.0,EST,VP/WSOL
21609-90-5,LEPTOPHOS,0.03,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.3e-08,20.0,EXP,"FREED,VH ET AL. (1977)",2.65e-06,20.0,EST,VP/WSOL
21725-46-2,CYANAZINE,170.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",1.38e-07,25.0,EXP,"GRAYSON,BT & FOSBRAEY,LA (1982)",2.57e-12,25.0,EST,VP/WSOL
21981-48-6,ISOPENTYL NITRATE,440.0,25.0,EXP,"HAUFF,K ET AL. (1998)",5.13,25.0,EXP,"HAUFF,K ET AL. (1998)",0.00298,25.0,EXP,"HAUFF,K ET AL. (1998)"
22224-92-6,FENAMIPHOS,329.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",1.21e-09,25.0,EST,VP/WSOL
22248-79-9,TETRACHLORVINPHOS,11.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.2e-08,20.0,EXP,"TOMLIN,C (1994)",1.8e-09,20.0,EST,VP/WSOL
22781-23-3,BENDIOCARB,260.0,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,3.45e-05,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,3.9e-08,25.0,EST,VP/WSOL
22936-75-0,DIMETHAMRTRYNE,50.0,20.0,EXP,"SHIU,WY ET AL. (1990)",1.4e-06,20.0,EXP,"TOMLIN,C (1997)",9.41e-09,20.0,EST,VP/WSOL
22936-86-3,CYPRAZINE,69.0,22.0,EXP,"PLIMMER,JR (1980)",3e-07,25.0,EXP,"PLIMMER,JR (1980)",1.3e-09,25.0,EST,VP/WSOL
23103-98-2,PIRIMICARB,2700.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.28e-06,25.0,EXP,"TOMLIN,C (1997)",8.45e-10,25.0,EST,VP/WSOL
23135-22-0,OXAMYL,280000.0,25.0,EXP,"TOMLIN,C (1997)",0.00023,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",2.37e-10,25.0,EST,VP/WSOL
23184-66-9,BUTACHLOR,20.0,20.0,EXP,"TOMLIN,C (1997)",2.9e-06,25.0,EXP,"WATANABE,T (1993)",5.1e-08,25.0,EXP,"WATANABE,T (1993)"
23505-41-1,PIRIMIPHOS ETHYL,3.97,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00029,25.0,EXP,"TOMLIN,C (1997)",3.21e-05,25.0,EST,VP/WSOL
23560-59-0,Heptenophos,2500.0,23.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00128,25.0,EXP,"TOMLIN,C (1997)",1.69e-07,25.0,EST,VP/WSOL
23564-05-8,THIOPHANATE-METHYL,26.6,20.0,EXP,"HU,JY ET AL. (1997)",7.13e-08,25.0,EXP,"TOMLIN,C (1997)",1.21e-09,25.0,EST,VP/WSOL
23947-60-6,Ethyrimol,150.0,20.0,EXP,"TOMLIN,C (1994); pH 7.3",2e-06,25.0,EXP,"TOMLIN,C (1997)",3.67e-09,25.0,EST,VP/WSOL
23950-58-5,PRONAMIDE,15.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.35e-07,25.0,EXP,"TOMLIN,C (1994)",9.77e-09,25.0,EST,VP/WSOL
24017-47-8,TRIAZOPHOS,39.0,20.0,EXP,"TOMLIN,C (1997); pH 7",2.9e-06,30.0,EXP,"TOMLIN,C (1997)",4.84e-08,30.0,EST,VP/WSOL
24151-93-7,PIPEROPHOS,25.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.4e-07,20.0,EXP,"TOMLIN,C (1997)",4.46e-09,20.0,EST,VP/WSOL
24579-73-5,Propamocarb,900000.0,20.0,EXP,"TOMLIN,C (1997); pH 7.0",0.0548,25.0,EXP,"TOMLIN,C (1997)",1.48e-09,25.0,EXP,"TOMLIN,C (1997)"
24683-00-9,2-ISOBUTYL-3-METHOXYPYRAZINE,230.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.0348,25.0,EST,"NEELY,WB & BLAU,GE (1985)",4.89e-05,25.0,EXP,"BUTTERY,RG ET AL. (1971)"
24691-80-3,Fenfuram,100.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.5e-07,20.0,EXT,"TOMLIN,C (1997)",3.97e-10,20.0,EST,VP/WSOL
24934-91-6,CHLORMEPHOS,60.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.057,30.0,EXP,"TOMLIN,C (1994)",0.000293,25.0,EST,VP/WSOL
25013-15-4,VINYLTOLUENE,89.0,25.0,EXP,"LEWIS,PJ ET AL. (1978)",1.5,20.0,EXP,"WEBER,RC ET AL. (1981)",0.00262,20.0,EST,VP/WSOL
25057-89-0,BENTAZONE,500.0,20.0,EXP,"SHIU,WY ET AL. (1990)",3.45e-06,20.0,EXP,"TOMLIN,C (1994)",2.18e-09,20.0,EST,VP/WSOL
25059-80-7,BENAZOLIN-ETHYL,47.0,20.0,EXP,"TOMLIN,C (1997)",2.78e-06,20.0,EXP,"TOMLIN,C (1997)",2.12e-08,25.0,EST,VP/WSOL
25154-52-3,NONYLPHENOL (isomer mixture),6.35,25.0,EXP,"SHIU,WY ET AL. (1990)",2.36e-05,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.1e-06,25.0,EST,VP/WSOL
25155-15-1,P-I-PROPYLTOLUENE,23.4,25.0,EXP,"SUNTIO,LR ET AL. (1988A)",1.64,25.0,EXP,"PERRY,RH & GREEN,D (1984)",0.0124,25.0,EST,VP/WSOL
25168-26-7,"2,4-D, ISOOCTYL ESTER",0.0324,25.0,EXP,HERBICIDE HANDBOOK (1994),7.06e-06,25.0,EXP,NATIONAL RES COUNCIL CANADA (1978),9.56e-05,25.0,EST,VP/WSOL
25311-71-1,ISOFENPHOS,22.1,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",6.17e-08,25.0,EST,VP/WSOL
25319-90-8,MCPA-thioethyl,2.3,25.0,EXP,"TOMLIN,C (1997)",0.000158,20.0,EXP,"TOMLIN,C (1997)",2.21e-05,20.0,EST,VP/WSOL
25550-14-5,METHYL ETHYL BENZENE,74.5,25.0,EXP,"TEWARI,YB ET AL. (1982A)",2.88,25.0,EXP,"AMBROSE,D ET AL. (1973)",0.00612,25.0,EST,VP/WSOL
25569-80-6,"2,3'-DICHLOROBIPHENYL",0.58,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000191,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.00025,25.0,EXP,"BRUNNER,S ET AL. (1990)"
25640-78-2,ISOPROPYLBIPHENYL,0.6,25.0,EXP,"ADDISON,RF ET AL. (1983)",0.0005,25.0,EXP,"ADDISON,RF ET AL. (1983)",0.000215,25.0,EST,VP/WSOL
25680-58-4,2-ETHYL-3-METHOXYPYRAZINE,2470.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.174,25.0,EST,"NEELY,WB & BLAU,GE (1985)",1.47e-05,25.0,EXP,"BUTTERY,RG ET AL. (1971)"
26002-80-2,PHENOTHRIN,0.0097,25.0,EXP,"TOMLIN,C (1997); <9.7 ug/L",1.43e-07,21.0,EXP,"TOMLIN,C (1994)",6.8e-06,21.0,EST,VP/WSOL
26087-47-8,IBP (IPROBENFOS),400.0,20.0,EXP,"SHIU,WY ET AL. (1990)",4.05e-05,25.0,EXP,"WATANABE,T (1993)",3.84e-08,25.0,EST,VP/WSOL
26225-79-6,ETHOFUMESATE,50.0,25.0,EXP,"TOMLIN,C (2003)",4.9e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",3.69e-08,25.0,EST,VP/WSOL
26259-45-0,SECBUMETON,620.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.3e-06,20.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",3.49e-09,20.0,EST,VP/WSOL
26399-36-0,PROFLURALIN,0.1,20.0,EXP,"TOMLIN,C (2003)",6.3e-05,20.0,EXP,"TOMLIN,C (2003)",0.00029,20.0,EST,VP/WSOL
26444-49-5,CRESYL DIPHENYL PHOSPHATE,0.24,25.0,EXP,EPA,4.7e-06,25.0,EXP,"BOETHLING,RS & COOPER,JC (1985)",4.21e-08,25.0,EST,VP/WSOL
26530-20-1,"3(2H)-ISOTHIAZOLONE, 2-OCTYL-",500.0,25.0,EXP,"TOMLIN,C (1994)",3.68e-05,25.0,EXP,"TOMLIN,C (1997)",2.07e-08,25.0,EST,VP/WSOL
26638-19-7,DICHLOROPROPANE,2700.0,20.0,EXP,"GUNTHER,FA (1968)",50.8,25.0,EXP,"SHEN,TT (1982A)",0.00298,25.0,EST,VP/WSOL
26644-46-2,TRIFORINE,30.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",2e-07,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",3.82e-09,25.0,EST,VP/WSOL
26675-46-7,ISOFLURANE,4470.0,37.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",591.0,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.0287,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
26761-40-0,DIISODECYL PHTHALATE,0.28,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5.28e-07,25.0,EXP,"YAWS,CL (1994B)",1.11e-06,25.0,EST,VP/WSOL
26856-30-4,HEXYNE,366.0,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)",136.0,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)",0.0402,25.0,EST,VP/WSOL
26952-21-6,ISOOCTYL ALCOHOL,640.0,,EXP,"NEELY,WB (1984)",0.344,25.0,EXT,CRC HANDBOOK CHEM (2006),9.21e-05,25.0,EST,VP/WSOL
27138-31-4,"DIPROPYLENE GLYCOL, DIBENZOATE",15.0,25.0,EXP,"BUTZ,RG ET AL. (1982A)",4.6e-07,25.0,EXP,"BUTZ,RG ET AL. (1982A)",1.38e-08,25.0,EST,VP/WSOL
27154-44-5,HEXACHLOROCYCLOHEXANE,10.0,20.0,EXP,"PAASIVIRTA,J (1993)",4.65e-05,20.0,EXP,"PAASIVIRTA,J (1993)",1.78e-06,20.0,EST,VP/WSOL
27314-13-2,NORFLURAZON,33.7,25.0,EXP,"TOMLIN,C (1997)",2.89e-08,25.0,EXP,"TOMLIN,C (1997)",3.43e-10,25.0,EST,VP/WSOL
27355-22-2,TETRACHLOROPHTHALIDE,2.5,25.0,EXP,"TOMLIN,C (1994)",2.25e-08,23.0,EXP,"TOMLIN,C (1997)",3.22e-09,25.0,EST,VP/WSOL
27554-26-3,DIISOOCTYL PHTHALATE,0.09,25.0,EXP,"HOWARD,PH ET AL. (1985)",5.5e-06,25.0,EXP,"HOWARD,PH ET AL. (1985)",3.14e-05,25.0,EST,VP/WSOL
28249-77-6,THIOBENCARB,28.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",2.2e-05,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",2.67e-07,25.0,EST,VP/WSOL
28434-01-7,BIORESMETHRIN,0.3,25.0,EXP,"TOMLIN,C (1997)",0.00014,25.0,EXP,"TOMLIN,C (1997)",0.000208,25.0,EST,VP/WSOL
28553-12-0,DIISONONYL PHTHALATE,0.2,20.0,EXP,"HOWARD,PH ET AL. (1985)",5.4e-07,25.0,EXP,"HOWARD,PH ET AL. (1985)",1.49e-06,25.0,EST,VP/WSOL
28772-56-7,BROMADIOLONE,19.0,20.0,EXP,"TOMLIN,C (1997)",1.5e-08,20.0,EXP,"HARTLEY,D & KIDD,H (1983)",5.48e-10,20.0,EST,VP/WSOL
29091-05-2,DINITRAMINE,1.1,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",3.6e-06,25.0,EXP,"TOMLIN,C (2003)",1.39e-06,25.0,EST,VP/WSOL
29091-21-2,PRODIAMINE,0.013,25.0,EXP,"TOMLIN,C (1994)",2.48e-08,25.0,EXP,"TOMLIN,C (1997)",8.79e-07,25.0,EST,VP/WSOL
29104-30-1,BENZOXIMATE,30.0,25.0,EXP,"TOMLIN,C (1994)",3.38e-06,25.0,EXP,"TOMLIN,C (1997)",5.39e-08,25.0,EST,VP/WSOL
29232-93-7,PIRIMIPHOS-METHYL,8.6,20.0,EXP,"TOMLIN,C (1997); pH 7.3",1.5e-05,20.0,EXP,"TOMLIN,C (1997)",7.01e-07,25.0,EST,VP/WSOL
29446-15-9,"2,3-DICHLORODIBENZO-P-DIOXIN",0.0149,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.93e-06,25.0,EXP,"SHIU,WY ET AL. (1988)",6.55e-05,25.0,EST,VP/WSOL
29460-93-3,ISOBUTYLPYRAZINE,2100.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.448,25.0,EST,"NEELY,WB & BLAU,GE (1985)",4.89e-06,25.0,EXP,"BUTTERY,RG ET AL. (1971)"
29973-13-5,ETHIOFENCARB,1820.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.05e-06,25.0,EXP,"TOMLIN,C (1997)",1.15e-09,25.0,EST,VP/WSOL
30560-19-1,ACEPHATE,818000.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",1.7e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",5.01e-13,25.0,EST,VP/WSOL
30746-58-8,"1,2,3,4-TETRACHLORODIBENZO-P-DIOXIN",0.00063,25.0,EXP,"SHIU,WY ET AL. (1988)",4.8e-08,25.0,EXP,"SHIU,WY ET AL. (1988)",2e-05,25.0,EXP,"SANTL,H ET AL. (1994)"
31218-83-4,PROPETAMPHOS,110.0,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.43e-05,20.0,EXP,"TOMLIN,C (1997)",4.81e-08,20.0,EST,VP/WSOL
31508-00-6,"2',3,4,4',5'-PCB",0.0134,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.97e-06,25.0,EXP,"BIDLEMAN,TF (1984)",0.000288,25.0,EST,VP/WSOL
32407-99-1,PHENYLMERCURY DIMETHYL DITHIOCARBAMATE,6.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8e-07,35.0,EXP,"MARTIN,H & WORTHING,CR (1977)",7.23e-08,35.0,EST,VP/WSOL
32598-10-0,"2,3',4,4'-TETRACHLOROBIPHENYL",0.0368,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.62e-05,25.0,EXP,"BIDLEMAN,TF (1984)",0.00012,25.0,EXP,"BRUNNER,S ET AL. (1990)"
32598-11-1,"2,3',4',5-TETRACHLOROBIPHENYL",0.041,25.0,EXP,"SHIU,WY & MACKAY,D (1986)",4.08e-05,25.0,EXP,"BIDLEMAN,TF (1984)",0.0001,25.0,EXP,"BRUNNER,S ET AL. (1990)"
32598-13-3,"3,3',4,4'-TETRACHLOROBIPHENYL",0.000569,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.64e-05,25.0,EXP,"BIDLEMAN,TF (1984)",9.4e-06,25.0,EXP,"DUNNIVANT,FM ET AL. (1988)"
32598-14-4,"2,3,3',4,4'-PENTACHLORO-1,1'-BIPHENYL",0.0034,25.0,EXP,"OZRETICH,RJ ET AL. (1995)",6.53e-06,25.0,EXP,"BIDLEMAN,TF (1984)",0.000825,25.0,EST,VP/WSOL
32690-93-0,"2,4,4',5-TETRACHLOROBIPHENYL",0.00496,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.45e-06,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.0001,25.0,EXP,"BRUNNER,S ET AL. (1990)"
32809-16-8,PROCYMIDONE,4.5,25.0,EXP,"TOMLIN,C (1994)",0.00014,25.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",1.16e-05,25.0,EST,VP/WSOL
33089-61-1,AMITRAZ,1.0,25.0,EXP,"SHIU,WY ET AL. (1990)",2e-06,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",9.87e-06,25.0,EXP,"TOMLIN,C (1997)"
33146-45-1,"2,6-DICHLOROBIPHENYL",2.41,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000191,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.00023,25.0,EXP,"BRUNNER,S ET AL. (1990)"
33213-65-9,Endosulfan (beta),0.45,20.0,EXP,"BOWMAN,BT & SANS,WW (1983)",6e-07,25.0,EXP,"HINCKLEY,DA ET AL. (1990)",3.91e-07,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
33245-39-5,FLUCHLORALIN,0.9,20.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",3e-05,20.0,EXP,"TOMLIN,C (2003)",1.5e-05,20.0,EST,VP/WSOL
33284-50-3,"2,4-DICHLOROBIPHENYL",1.15,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00138,25.0,EXP,"BIDLEMAN,TF (1984)",0.00028,25.0,EXP,"BRUNNER,S ET AL. (1990)"
33284-53-6,"2,3,4,5-PCB",0.014,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.75e-05,25.0,EXP,"HARNER,T & MACKAY,D (1995)",0.00103,25.0,EST,VP/WSOL
33284-54-7,"2,3,5,6-TETRACHLOROBIPHENYL",0.0164,25.0,EXP,"PATIL,GS (1991)",8.45e-06,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.000225,19.0,EXP,"MURRAY,MW & ANDREN,AW (1990)"
33423-92-6,"1,3,6,8-TETRACHLORODIBENZO-P-DIOXIN",0.00032,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5.25e-09,25.0,EXT,"RORDORF,BF (1989)",0.000681,20.0,EXP,"WEBSTER,GRB ET AL (1985)"
33629-47-9,BUTRALIN,1.0,25.0,EXP,"SHIU,WY ET AL. (1990)",1.27e-05,25.0,EXP,"WEBER,JB (1990)",4.94e-06,25.0,EST,VP/WSOL
33693-04-8,TERBUMETON,130.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2e-06,25.0,EXP,"KEARNEY,PC & KAUFMAN,DD (1975)",4.56e-09,25.0,EST,VP/WSOL
33820-53-0,ISOPROPALIN,0.11,25.0,EXP,"PROBST,GW ET AL. (1975)",3e-05,25.0,EXP,WSSA (1983),0.000111,25.0,EST,VP/WSOL
33857-26-0,"2,7-DICHLORODIBENZO-P-DIOXIN",0.00375,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",9e-07,25.0,EXP,"SHIU,WY ET AL. (1988)",5.88e-05,25.0,EXP,"SANTL,H ET AL. (1994)"
33979-03-2,"2,2',4,4',6,6'-PCB",0.000408,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.2e-05,25.0,EXP,"SHIU,WY & MACKAY,D (1986)",0.00251,25.0,EST,VP/WSOL
34014-18-1,TEBUTHIURON,2500.0,25.0,EXP,"TOMLIN,C (1997)",2e-06,25.0,EXP,"TOMLIN,C (1997)",1.2e-10,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE;(1997)
34123-59-6,ISOPROTURON,65.0,22.0,EXP,"TOMLIN,C (1994)",2.47e-08,25.0,EXP,"TOMLIN,C (1994)",1.12e-10,25.0,EST,VP/WSOL
34465-46-8,HEXACHLORODIBENZO-P-DIOXIN,4e-06,20.0,EXP,"FISCHER,J ET AL. (1992)",4.4e-11,25.0,EXP,"RORDORF,BF (1989)",5.7e-06,25.0,EST,VP/WSOL
34622-58-7,ORBENCARB,24.0,23.0,EXP,"TOMLIN,C (1994)",9.3e-05,20.0,EXP,"TOMLIN,C (1997)",1.31e-06,20.0,EST,VP/WSOL
34681-10-2,Butocarboxim,35000.0,20.0,EXP,"TOMLIN,C (1997)",7.95e-05,20.0,EXP,"TOMLIN,C (1997)",5.7e-10,20.0,EST,VP/WSOL
34681-23-7,Butoxycarboxim,209000.0,20.0,EXP,"TOMLIN,C (1994)",2e-06,20.0,EXP,"TOMLIN,C (1997)",2.8e-12,20.0,EST,VP/WSOL
34883-39-1,"2,5-DICHLOROBIPHENYL",1.12,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00138,25.0,EXP,"BIDLEMAN,TF (1984)",0.00028,25.0,EXP,"BRUNNER,S ET AL. (1990)"
34883-41-5,"3,5-DICHLOROBIPHENYL",0.795,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.000191,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.00022,19.0,EXP,"MURRAY,MW & ANDREN,AW (1990)"
34883-43-7,"2,4'-DICHLOROBIPHENYL",1.17,25.0,EXP,"CHIOU,CT ET AL. (1983)",0.00209,25.0,EXP,"SHIU,WY & MACKAY,D (1986)",0.00023,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35065-27-1,"2,4,5,2',4',5'-HEXACHLOROBIPHENYL",0.00095,24.0,EXP,"CHIOU,CT ET AL. (1977)",3.43e-06,25.0,EXP,"SHIU,WY & MACKAY,D (1986)",2.3e-05,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35065-28-2,"2,2',3,4,4',5'-HEXACHLOROBIPHENYL",0.0015,20.0,EXP,"PATIL,GS (1991)",3.8e-06,25.0,EXP,"SHIU,WY & MACKAY,D (1986)",2.1e-05,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35065-29-3,"2,2',3,4,4',5,5'-HEPTACHLOROBIPHENYL",0.00385,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",9.77e-07,25.0,EXP,"BIDLEMAN,TF (1984)",1e-05,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35065-30-6,"2,2',3,3',4,4',5-HEPTACHLOROBIPHENYL",0.00347,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",6.28e-07,25.0,EXP,"BIDLEMAN,TF (1984)",9e-06,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35256-85-0,Tebutam,790.0,20.0,EXP,"TOMLIN,C (1997); pH 7",0.000668,25.0,EXP,"TOMLIN,C (1997)",2.6e-07,25.0,EST,VP/WSOL
35367-38-5,DIFLUBENZURON,0.08,25.0,EXP,"TOMLIN,C (1997); pH 7",9e-10,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",4.6e-09,25.0,EST,VP/WSOL
35400-43-2,SULPROFOS,0.31,20.0,EXP,"TOMLIN,C (1997)",1.2e-06,25.0,EXP,"TOMLIN,C (1997)",1.64e-06,25.0,EST,VP/WSOL
35554-44-0,IMAZALIL BASE,180.0,20.0,EXP,"TOMLIN,C (2003); pH 7.6",1.19e-06,20.0,EXP,"TOMLIN,C (2003)",2.59e-09,20.0,EST,VP/WSOL
35575-96-3,Azamethiphos,1100.0,20.0,EXP,"TOMLIN,C (1997); pH 7",3.67e-08,20.0,EXP,"TOMLIN,C (1997)",1.43e-11,20.0,EST,VP/WSOL
35693-92-6,"2,4,6-TRICHLOROBIPHENYL",0.252,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000716,25.0,EXP,"BIDLEMAN,TF (1984)",0.000963,25.0,EST,VP/WSOL
35693-99-3,"2,2',5,5'-TETRACHLOROBIPHENYL",0.0153,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.45e-06,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.0002,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35694-08-7,"2,2',3,3',4,4',5,5'-OCTACHLOROBIPHENYL",0.000272,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.87e-08,25.0,EST,"NEELY,WB & BLAU,GE (1985)",1e-05,25.0,EXP,"BRUNNER,S ET AL. (1990)"
35822-46-9,"1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN",2.4e-06,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.5e-10,25.0,EXP,"SHIU,WY ET AL. (1988)",0.000175,25.0,EST,VP/WSOL
36088-22-9,PENTACHLORODIBENZO-P-DIOXIN,0.00012,20.0,EXP,"FISCHER,J ET AL. (1992)",5.6e-10,25.0,EXP,"RORDORF,BF (1989)",2.2e-06,25.0,EST,VP/WSOL
36335-67-8,BUTAMIFOS,6.19,25.0,EXP,"TOMLIN,C (1994)",0.00063,27.0,EXP,"TOMLIN,C (1997)",4.45e-05,25.0,EST,VP/WSOL
36355-01-8,HEXABROMOBIPHENYL,0.011,25.0,EXP,IARC (1978A),5.2e-08,25.0,EXP,"JACOBS,LW ET AL. (1976)",4.29e-06,25.0,EST,VP/WSOL
36559-22-5,"2,2',3,4'-TETRACHLOROBIPHENYL",0.0608,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.45e-06,25.0,EST,"NEELY,WB & BLAU,GE (1985)",0.00014,25.0,EXP,"BRUNNER,S ET AL. (1990)"
36653-82-4,1-HEXADECANOL,0.0412,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",6e-06,25.0,EXT,"DAUBERT,TE & DANNER,RP (1995)",4.65e-05,25.0,EST,VP/WSOL
